PokemonId,NameEn,NameTw,Type1,Type2,Old_MaxCp,Old_BaseAtk,Old_BaseDef,Old_BaseSta,CaptureRate,FleeRate,Height,Weight,BaseAtk,BaseDef,BaseSta,MaxCp,Flavor
1,Bulbasaur,妙蛙種子,Grass,Poison,1071,126,126,90,16,10,6.9,0.7,118,118,90,981,妙蛙種子是一隻有點像蟾蜍或藍綠色皮膚的小恐龍的爬行動物。它有四條腿，每條腿有三個白色腳趾或爪子。它的眼睛是鮮紅色，但這個神奇寶貝最顯著的特點就是它背後那個洋蔥狀的鱗莖。這個鱗莖與神奇寶貝有著共生關係，在它出生後，它的母親種植了一個種子在它背上。不像寄生性冬蟲夏草菇類生長在派拉斯背上，最終被其進化型派拉斯特繼承，妙蛙種子的鱗莖分享著對雙方都有益的共生關係。這使得妙蛙種子能從白天得到能量的增強和提高，鱗莖能再夜間保持強勁生長。鱗莖還含有許多能吸收養分的種子。<br/><br/>雖然它們通常用四條腿行走，但是妙蛙種子可以抬高它的後腿。當它進化成妙蛙草時，它的鱗莖會變成一個較大的蓓蕾，使它幾乎無法抬起它的後腿。
2,Ivysaur,妙蛙草,Grass,Poison,1632,156,158,120,8,7,1,13,151,151,120,1552,妙蛙草，就像它的名字一樣，與一隻蛤蟆或一隻恐龍相類似，雖然它皮膚上的斑紋讓它更像是一隻恐龍。在它由妙蛙種子進化後，妙蛙草會長出小小的尖牙，明顯的內耳和瞳孔。妙蛙草的皮膚相比妙蛙種子更藍一些。最顯要的區別在於妙蛙草的外貌——它的鱗莖變成一朵伴隨著延伸葉片的粉色花朵的蓓蕾。這朵鮮花蓓蕾很重，這讓它的後肢變得更加強壯和結實以去支撐它，但以此為代價的是它再也不能抬起它的後腿。在杉森建的繪圖和神奇寶貝遊戲中，妙蛙草的眼睛是紅色的。而在精靈寶可夢動畫與夢境世界中，它的眼睛是紫色的。另外，它的腳上長著三隻腳趾或是爪子。
3,Venusaur,妙蛙花,Grass,Poison,2580,198,200,160,4,5,100,2,198,198,160,2568,妙蛙花的體型比它的進化前要大的多。其身體呈藍綠色，並且沒有了進化前的深色斑塊，取而代之的是類似蟾蜍背上的疙瘩。妙蛙花的頭頂有一對耳朵，耳朵內部為紅色的，眼睛呈橘紅色，嘴裏有牙。它背上的花蕾現在盛開成一朵巨大的紅色花朵，一個棕色的類似棕櫚樹的樹幹狀物支持著這朵有六片帶著白色斑點的巨大花瓣的花朵。其爪子上有三個趾，腿也變得更粗。儘管妙蛙花仍然是四足行走，在戰鬥之外它比其進化前身移動得更慢。
4,Charmander,小火龍,Fire,,955,128,108,78,16,10,8.5,0.6,116,96,78,831,小火龍是橙色的爬行動物，像一尾的兩足動物蠑螈，有一些恐龍的特徵，特別像是那些獸腳亞目食肉恐龍。小火龍有四顆小小的可見的牙齒在它的嘴巴裡的上面和下面，肚子和尾巴下方是奶油色的。它最顯著的特點是它的尾巴尖在出生時就有燃燒著的火焰。有人說，如果火焰熄滅這隻神奇寶貝就會死亡，雖然這從來沒有在動畫、漫畫或遊戲中發生過。但有時在動畫中，的確會以尾巴火焰的強弱來表示小火龍（或其進化型）身體狀況的好壞。<br/><br/>在外觀上，小火龍通常被形容為很可愛。然而接觸它的人們必須注意它的尖銳的爪子，有著潛在的危險。
5,Charmeleon,小恐龍,Fire,,1557,160,140,116,8,7,19,1.1,158,129,116,1484,火恐龍的前肢、後肢都比小火龍更長，而爪子也變得更長。頭部有了一個角狀凸起，尾巴也變長了。身體的紅色也變得更深。尾部依然有火焰。嘴變的有些像鳥喙。
6,Charizard,噴火龍,Fire,Flying,2602,212,182,156,4,5,90.5,1.7,223,176,156,2686,與它進化之前不同，噴火龍有翅膀可以飛。它是很像龍的神奇寶貝。與它進化前一樣，它有長長的末端有火焰的尾巴。在它的爪子尖端有尖銳的指甲。它還有長長的脖子，頭上還有從後面突出的兩個角。它的兩個翅膀的正面是藍綠色的，而背面則是橙色的，像它的身體一樣。雖然幾乎不可見，但噴火龍的虹膜的顏色是淡藍色的。它的腹部和底面的腳是奶油色的。
7,Squirtle,傑尼龜,Water,,1008,112,142,88,16,10,9,0.5,94,122,88,808,傑尼龜的樣子就像是烏龜，身體是藍色的，頭部很圓，可以提高傑尼龜游泳的速度。眼睛是紫色的。龜殼的背面是褐色的，裡面是白色的。它的龜殼很有用，可以用於抵擋攻擊。尾巴像小型的波浪。前後肢都是三趾，而且很短。
8,Wartortle,卡咪龜,Water,,1582,144,176,118,8,7,22.5,1,126,155,118,1324,卡咪龜的頭圓圓的，頭上長著一對有點像翅的毛茸茸的耳朵。它的眼睛呈棕色，在嘴部可以看到它的獠牙。 它的龜殼和傑尼龜一樣。它的前肢有三個鋒利的爪子。尾巴像海浪，也是毛茸茸的。
9,Blastoise,水箭龜,Water,,2542,186,222,158,4,5,85.5,1.6,171,210,158,2291,水箭龜是巨大的兩足動物，但也會用四足行走。它前後肢都長有三趾。尾巴不再像海浪，而變成了粗短的藍色尾巴。它的下顎是奶白色的。耳朵是三角形的。它的龜殼變得十分巨大，而且前端伸出了兩門水炮，可以縮進龜殼裡。
10,Caterpie,綠毛蟲,Bug,,443,62,66,90,40,20,2,0.3,55,62,90,393,綠毛蟲外形像一隻蟲，最顯著的特徵是頭部的Y字形紅色觸角。有兩對腹足。背面是綠色，腹部是白色。身體兩側有黃色環形斑紋。
11,Metapod,鐵甲蛹,Bug,,477,56,86,100,40,20,9.9,0.7,45,94,100,419,鐵甲蛹是一個綠色的蟲蛹。雖然外殼十分堅硬，但其內部的身體很柔軟。遭到了強烈的攻擊的話，裡面的身體可能會掉出來。
12,Butterfree,巴大蝴,Bug,Flying,1454,144,144,120,10,6,32,1.1,167,151,120,1701,巴大蝶在蝴蝶的外型基礎上加上了擬人化的外貌特徵。巴大蝶的身體呈深藍紫色，身後長著有黑色脈紋的巨大白色翅膀，通過脈紋可以識別巴大蝶的性別。 與真實存在的昆蟲不同，巴大蝶只有四條腿，而且還是粉青色的。另外它的頭部還有一個同樣是粉青色的，類似於鼻子的器官。巴大蝶的眼睛是淡紅色的複眼。與其他鱗翅目的昆蟲一樣，巴大蝶的翅膀上覆蓋著細密的鱗片，腿上也覆蓋著細毛以便採蜜。
13,Weedle,獨角蟲,Bug,Poison,449,68,64,80,40,20,3.2,0.3,63,55,80,397,獨角蟲整體呈土黃色，顯著特徵就是頭上的角。有七對腹足。尾巴上也長有尖刺。眼睛是黑色的，很小。
14,Kakuna,鐵殼昆,Bug,Poison,485,62,82,90,20,9,10,0.6,46,86,90,392,鐵殼蛹是淡黃色的堅硬蟲蛹。上面有蛇形的紋路。鐵殼蛹有圓形的頭頂和黑色的三角形眼睛。在它身體中間有鐮刀狀的手臂。它身上散發的熱量讓人摸起來很溫暖。
15,Beedrill,大針鋒,Bug,Poison,1439,144,130,130,10,6,29.5,1,169,150,130,1777,大針蜂類似黃色的雙足蜜蜂，但它只有四條腿而不是六條。身體分為三節。它的頭部比較圓，嘴部是尖的。眼睛紅而圓。長有兩個觸角。腹部很圓，它的四條腿都附著在腹部上。尾部黃黑相間，在末端長有毒針。雙足細長，雙手上有又大又粗的白色針。背部有兩對翅膀，翅膀上有繁複的紋路。
16,Pidgey,波波,Flying,Normal,679,94,90,80,40,20,1.8,0.3,85,76,80,580,波波就像小鳥。它的羽毛顏色很不起眼。腹部和翅膀末端的羽毛是白色的，其他部位是褐色的。黑色眼睛周圍是黑色。喙和爪子是紫色的。頭頂上有三簇毛，兩邊的毛是白色的，使它看起來有點嚴肅。
17,Pidgeotto,比比鳥,Flying,Normal,1223,126,122,126,20,9,30,1.1,117,108,126,1085,比比鳥像是大型的猛禽，羽毛主要是褐色的，翅膀內部和腹部都是白色的。頭上有紅色的羽毛，而且很長。它眼周是黑色的。它的眼睛就如同它的特性一般，十分銳利。巨大的爪子顯然會造成很大的傷害。尾巴是紅黃相間的。比比鳥相對於波波，平添了一種威猛和嚴肅。
18,Pidgeot,比雕,Flying,Normal,2091,170,166,166,10,6,39.5,1.5,166,157,166,1994,大比鳥的外形和比比鳥十分相似，只是大比鳥頭上的羽毛是黃白相間的，而尾巴是紅色的。華麗的翅膀能起到威懾的作用，也能鼓起巨大的風暴。尖銳的眼神和寬大的翅膀無不給大比鳥一種王者的氣概。 超級大比鳥比起大比鳥來身上的呈現了藍色和鮮紅色，以及喙邊的黑白色差使超級大比鳥看上去更威武。
19,Rattata,小拉達,Normal,,581,92,86,60,40,20,3.5,0.3,103,70,60,588,小拉達就像小型的齧齒動物。長有大耳朵，三角形眼睛發紅。鬍鬚很長。身體的紫色的，腹部是白色的，這很可能是它的保護色。尾巴微卷。阿羅拉樣子的小拉達的身體則是黑色的，腹部的顏色接近於土黃色，在鼻子兩側、耳朵上方以及尾巴上長有特殊的毛髮。
20,Raticate,拉達,Normal,,1444,146,150,110,16,7,18.5,0.7,161,144,110,1549,拉達比小拉達大許多，身體大多是黃褐色的。雖然他們仍然是四足動物，但拉達通常用兩條腿走路。拉達的最突出的特點是其快速生長的閘門牙。三排鬍子從它的臉兩側伸出來，可以用來保持平衡。他們還有腳蹼，可以游泳。拉達的尾巴比小拉達更長，也更像老鼠的尾巴。它的耳朵有些粗糙。阿羅拉樣子的拉達的身體顏色變為黑色，嘴巴周圍和鼻子還是原來的白色，不過腹部有一塊類似於向日葵花的棕色花紋。
21,Spearow,烈雀,Flying,Normal,686,102,78,80,40,15,2,0.3,112,61,80,673,烈雀是一種棕色的鳥神奇寶貝。它非常小的。它的頭有粗糙的羽毛，鳥喙形狀類似猛禽，是短但有鈎的。烈雀的腹部是米色，上面有細條紋。 烈雀的淺粉紅色的腳有三個爪子，它的翅膀邊緣時淺粉色的。 烈雀的背部是黑色的。有3個棕色的尾羽。
22,Fearow,大嘴雀,Flying,Normal,1746,168,146,130,16,7,38,1.2,182,135,130,1814,大嘴雀是大型的棕色猛禽。大嘴雀頭部有紅色的冠。嘴大而長，這是它攻擊的武器。脖子比較細長。胸前有粗糙凌亂的羽毛。翅膀又寬又大，末端是白色的。寬大的翅膀能幫它飛行。大嘴雀的背上有白色的羽毛。淺粉色的爪子是四趾的。有四根棕色尾羽。
23,Ekans,阿柏蛇,Poison,,824,112,112,70,40,15,6.9,2,110,102,70,778,阿柏蛇像紫色的蛇。黃色的眼睛非常圓，嘴很大，這有助於它吞食蛋。靠近頭部的的身體上有黃色的環狀紋路。其他地方有黑色的細條紋。尾巴像響尾蛇一樣。阿柏蛇的腹部是黃色的。
24,Arbok,阿柏怪,Poison,,1767,166,166,120,16,7,65,3.5,167,158,120,1737,阿柏怪像巨大的紫色眼鏡蛇。蜷縮的身體上有黑色的細條紋。阿柏怪的頭相比於它的腹部來說很小。眼睛是三角形的。吐出信子的嘴不像阿柏蛇那樣大，但是裡面長滿毒牙。阿柏怪最引人注意的是它腹部的花紋。據考證有6種。
25,Pikachu,皮卡丘,Electric,,887,124,108,70,16,10,6,0.4,112,101,70,787,皮卡丘是一隻矮矮胖胖圓乎乎的類齧齒型神奇寶貝，全身的皮毛都是黃色的。它的耳朵很長，尖端是黑色的。它有小小的嘴巴，側面看起來像一個數字3，還有黑色的眼睛。它的臉頰上有兩個紅色的圓。它的前爪短而有些粗，有五個「手指」，相對地，後爪只有三個。它後背上有兩條棕色的條紋。它的尾巴是像鋸齒狀的閃電，與身體相接的部分也有一片棕色的皮毛。確切地來說皮卡丘是四足動物，它跑動的時候是用四條腿著地快速地奔跑，但是更多時候它是站立著的並用兩隻後腳走路。
26,Raichu,雷丘,Electric,,2028,200,154,120,8,6,30,0.8,193,165,120,2025,雷丘是一個相當小的兩足齧齒動物。還像皮卡丘，雷丘的背上有兩個棕色的條紋。長而細的尾部末端有一個扁平的閃電型。它不像皮卡丘一樣有手指。雷丘的是棕黃色的，腹部發白，兩頰上的電氣袋是黃色的。它的腳很大，是棕褐色的。其分叉的耳朵外側是棕色的，內側是黃色的，耳朵的末梢有一個捲曲的部位。阿羅拉樣子的雷丘耳朵相對於其他地區的雷丘的耳朵更加圓滑，很像超級差不多娃娃的耳朵，眼睛的顏色從黑色變為藍色，鼻子也變成了淺色，尾巴的形狀變得很圓滑，雷丘可以踩上去當做衝浪板。
27,Sandshrew,穿山鼠,Ground,,798,90,114,100,40,10,12,0.6,126,145,100,1194,穿山鼠是有一條尾巴的兩足動物，外形像老鼠只是尾巴比較粗。堅硬幹燥的皮膚是黃色的，這為它提供了防禦和保護。前肢上有三個小而尖的爪子，後肢是二趾。耳朵很小，是三角形的。眼睛是藍黑色的。阿羅拉樣子的穿山鼠除了嘴巴周圍和腹部以外通體淡藍色，身上有直線的紋路，趴在地上就像一座迷你的雪屋一樣。
